symbol,company_name,sector,industry,market_cap,beta,dividend_yield,pe_ratio,pb_ratio,ps_ratio,date,open,high,low,close,volume,adj_close
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2023-12-13 00:00:00-05:00,47.62900161743164,48.59400177001953,47.608001708984375,48.0880012512207,447792000,48.06122589111328
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2023-12-14 00:00:00-05:00,48.38999938964844,48.66999816894531,47.422000885009766,48.349998474121094,391232000,48.32307434082031
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2023-12-15 00:00:00-05:00,48.194000244140625,49.40399932861328,48.119998931884766,48.88999938964844,479948000,48.86277770996094
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2023-12-18 00:00:00-05:00,49.400001525878906,50.43299865722656,49.150001525878906,50.07699966430664,412587000,50.04911422729492
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2023-12-19 00:00:00-05:00,49.42399978637695,49.70000076293945,48.89500045776367,49.604000091552734,464444000,49.576377868652344
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2023-12-20 00:00:00-05:00,49.654998779296875,49.999000549316406,48.097999572753906,48.111000061035156,397894000,48.08421325683594
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2023-12-21 00:00:00-05:00,48.81100082397461,49.095001220703125,48.41899871826172,48.9900016784668,300425000,48.96272277832031
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2023-12-22 00:00:00-05:00,49.19499969482422,49.382999420166016,48.46699905395508,48.83000183105469,252507000,48.80281066894531
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2023-12-26 00:00:00-05:00,48.96799850463867,49.599998474121094,48.959999084472656,49.27899932861328,244200000,49.251556396484375
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2023-12-27 00:00:00-05:00,49.51100158691406,49.68000030517578,49.084999084472656,49.41699981689453,233648000,49.389488220214844
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2023-12-28 00:00:00-05:00,49.643001556396484,49.88399887084961,49.4119987487793,49.52199935913086,246587000,49.49442672729492
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2023-12-29 00:00:00-05:00,49.8129997253418,49.99700164794922,48.750999450683594,49.52199935913086,389293000,49.49442672729492
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-02 00:00:00-05:00,49.24399948120117,49.29499816894531,47.595001220703125,48.167999267578125,411254000,48.141178131103516
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-03 00:00:00-05:00,47.48500061035156,48.183998107910156,47.31999969482422,47.569000244140625,320896000,47.542518615722656
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-04 00:00:00-05:00,47.766998291015625,48.5,47.507999420166016,47.99800109863281,306535000,47.97127914428711
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-05 00:00:00-05:00,48.46200180053711,49.547000885009766,48.305999755859375,49.09700012207031,415039000,49.06966018676758
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-08 00:00:00-05:00,49.512001037597656,52.275001525878906,49.479000091552734,52.25299835205078,642510000,52.22390365600586
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-09 00:00:00-05:00,52.4010009765625,54.32500076293945,51.689998626708984,53.13999938964844,773100000,53.11041259765625
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-10 00:00:00-05:00,53.61600112915039,54.599998474121094,53.48899841308594,54.349998474121094,533796000,54.31973648071289
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-11 00:00:00-05:00,54.999000549316406,55.34600067138672,53.560001373291016,54.821998596191406,596759000,54.79147720336914
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-12 00:00:00-05:00,54.619998931884766,54.970001220703125,54.33000183105469,54.709999084472656,352994000,54.67953109741211
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-16 00:00:00-05:00,55.018001556396484,56.834999084472656,54.900001525878906,56.38199996948242,449580000,56.35060501098633
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-17 00:00:00-05:00,56.34700012207031,56.47100067138672,54.7400016784668,56.053001403808594,474394000,56.021785736083984
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-18 00:00:00-05:00,57.2599983215332,57.599998474121094,56.106998443603516,57.106998443603516,491650000,57.0752067565918
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-19 00:00:00-05:00,57.98899841308594,59.5,57.224998474121094,59.49100112915039,543501000,59.45787811279297
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-22 00:00:00-05:00,60.04899978637695,60.33100128173828,59.06999969482422,59.65399932861328,452955000,59.620784759521484
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-23 00:00:00-05:00,59.56999969482422,59.90999984741211,58.584999084472656,59.87300109863281,294654000,59.839664459228516
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261212061696,2.284,0.02,43.321785,35.77678,22.76994,2024-01-24 00:00:00-05:00,60.30400085449219,62.8489990234375,59.9379997253418,61.36199951171875,560271000,61.32783508300781
